study_key,population,occupation_class,age_band,exposure_class,outcome_measure,effect_pct,timeframe,notes,source
brynjolfsson_chandar_chen_2025_22_25_high_exp,us_workers_adp_payroll,highly_AI_exposed,22_25,high_exposure_automative,employment_change_pct,-13,nov_2022_to_jul_2025,"Headline: 13% relative employment decline for early-career workers in most-exposed occupations even controlling for firm-level shocks",brynjolfsson_chandar_chen_2025
brynjolfsson_chandar_chen_2025_software_22_25,us_workers_adp_payroll,software_developers,22_25,high_exposure,employment_change_pct,-19.5,peak_2022_to_jul_2025,"Software developers age 22-25: down nearly 20% from late-2022 peak. Sharpest single-occupation impact",brynjolfsson_chandar_chen_2025
brynjolfsson_chandar_chen_2025_over_35_high_exp,us_workers_adp_payroll,highly_AI_exposed,over_35,high_exposure,employment_change_pct,positive_modest,nov_2022_to_jul_2025,"Same-occupation employment for workers over 35 ROSE — pattern is age-specific, not occupation-only. Apprenticeship-ladder break",brynjolfsson_chandar_chen_2025
brynjolfsson_chandar_chen_2025_augmentative,us_workers_adp_payroll,augmentation_classified,22_25,low_automation_high_augmentation,employment_change_pct,roughly_zero,nov_2022_to_jul_2025,"Effect concentrated in occupations where AI usage is automative per Anthropic classification, not augmentative. Encodes the augmentation-vs-automation distinction",brynjolfsson_chandar_chen_2025
hui_reshef_zhou_2024_overall,upwork_freelancers,affected_occupations_general,all_ages,post_chatgpt_nov_2022,monthly_jobs_pct,-2,nov_2022_to_aug_2023,"Generative AI exposed freelancer occupations: 2% decline in monthly jobs",hui_reshef_zhou_2024
hui_reshef_zhou_2024_earnings,upwork_freelancers,affected_occupations_general,all_ages,post_chatgpt_nov_2022,monthly_earnings_pct,-5.2,nov_2022_to_aug_2023,"5.2% decline in monthly earnings for affected freelancer occupations",hui_reshef_zhou_2024
hui_reshef_zhou_2024_image,upwork_freelancers,image_designers_illustrators,all_ages,post_dalle_midjourney,monthly_jobs_pct,-3.7,apr_2022_to_aug_2023,"Image-related workers post-DALL-E/Midjourney: 3.7% contract decline + 9.4% income loss",hui_reshef_zhou_2024
hui_reshef_zhou_2024_image_earn,upwork_freelancers,image_designers_illustrators,all_ages,post_dalle_midjourney,monthly_earnings_pct,-9.4,apr_2022_to_aug_2023,"Counter-intuitive: top performers hit hardest — 0.5% additional drop per 1% past earnings",hui_reshef_zhou_2024
eloundou_etal_2024_low_exposure,us_workforce_onet,workers_at_least_10pct_tasks,all,llm_alone,exposure_share_pct,80,2024_estimate,"Around 80% of US workforce has at least 10% of tasks exposed to LLMs",eloundou_etal_2024
eloundou_etal_2024_high_exposure,us_workforce_onet,workers_at_least_50pct_tasks,all,llm_alone,exposure_share_pct,19,2024_estimate,"Around 19% of workers may see at least 50% of tasks impacted",eloundou_etal_2024
eloundou_etal_2024_complementary,us_workforce_onet,jobs_with_complementary_software,all,llm_plus_complementary,exposure_share_pct,46,2024_estimate,"With complementary software jumps to 46% of jobs",eloundou_etal_2024
