study_key,domain,population,n,measure,treatment_effect_pct,baseline_skill_s,implied_alpha,outcome_type,model_a_assumed,notes,source
brynjolfsson_li_raymond_2025_overall,customer_service,call_center_agents,5179,issues_per_hour,14,0.50,0.28,throughput_quality_blend,0.70,"Average effect across all skill levels; +14% productivity headline",brynjolfsson_li_raymond_2025
brynjolfsson_li_raymond_2025_novice,customer_service,call_center_agents_novice,1295,issues_per_hour,34,0.20,0.43,throughput_quality_blend,0.70,"Novice / lower-skill subgroup; near-zero effect for top performers",brynjolfsson_li_raymond_2025
dellacqua_bcg_2023_productivity,consulting,consultants_inside_frontier,758,tasks_completed,12.2,0.50,0.24,quality_throughput,0.70,"Inside the jagged frontier; baseline subjects without AI",dellacqua_etal_2023
dellacqua_bcg_2023_quality,consulting,consultants_inside_frontier,758,quality_score,40,0.50,0.80,quality_throughput,0.70,"Quality lift on same tasks as productivity measure; productivity-vs-quality 3.3x within-study spread",dellacqua_etal_2023
dellacqua_bcg_2023_outside_frontier,consulting,consultants_outside_frontier,758,accuracy_pp,-19,0.50,-0.38,quality,0.30,"Negative alpha; AI use OUTSIDE the frontier degrades performance",dellacqua_etal_2023
cui_etal_2024_overall,coding,microsoft_accenture_f100_devs,4867,weekly_completed_tasks,26.08,0.45,0.47,throughput,0.85,"Pooled across three field experiments; SE 10.3%",cui_etal_2024
peng_etal_2023_overall,coding,recruited_devs_js_http_server,95,task_time_to_complete,55.8,0.45,1.01,time,0.95,"GitHub Copilot controlled experiment; JS HTTP-server task; less-experienced devs benefited most",peng_etal_2023
noy_zhang_2023_time,writing,college_educated_professionals,453,time_to_complete,40,0.40,0.67,time,0.80,"40% time reduction on midlevel writing tasks; GPT-3.5",noy_zhang_2023
noy_zhang_2023_quality,writing,college_educated_professionals,453,quality_grade,18,0.40,0.30,quality,0.80,"Quality grade lift on the same tasks; same study, different outcome",noy_zhang_2023
bastani_2025_assisted_gpt_base,education,high_school_math_students,494,grade_during_practice,48,0.30,0.69,assisted_performance,0.70,"GPT Base assistance — large lift during practice",bastani_etal_2025
bastani_2025_assisted_gpt_tutor,education,high_school_math_students,494,grade_during_practice,127,0.30,1.81,assisted_performance,0.85,"GPT Tutor (with guardrails) — even larger assisted lift",bastani_etal_2025
bastani_2025_unassisted_gpt_base,education,high_school_math_students,494,unassisted_retest_pp,-17,0.30,-0.24,unassisted_residual_skill,0.70,"Negative alpha on retention test; deskilling evidence — guardrails (GPT Tutor variant) eliminates the deskilling",bastani_etal_2025
humlum_vestergaard_2025,knowledge_work_avg,danish_workers_pop_register,30000,earnings_pct,2,0.55,0.04,realized_economic_outcome,0.50,"Upper bound on labor-market effect 2 years after launch; reconciles with 3% time savings + weak wage pass-through",humlum_vestergaard_2025
humlum_vestergaard_2025_time,knowledge_work_avg,danish_workers_pop_register,30000,time_savings_pct,3,0.55,0.07,self_reported_time_saved,0.50,"Self-reported productivity gain; the gap between this and the +14-26% lab/RCT findings is the realized-vs-task-level gap",humlum_vestergaard_2025
