study_key,domain,n,task_type,outcome_metric,headline_pct,novice_pct,expert_pct,quality_pct,time_pct,bound_pct_ci_lo,bound_pct_ci_hi,workflow_mode,context_note
brynjolfsson_2023,customer_support,5172,well-bounded,issues_resolved_per_hour,14,34,0,,,,,centaur_consult,"AI suggested responses; agents could accept/edit/ignore"
noy_zhang_2023,writing,453,well-bounded,quality+time,,,,18,-40,,,centaur,"40% time reduction AND 18% quality lift; clean within-subject"
peng_2023,coding,95,well-bounded,task_completion_speed,55.8,,,,-55.8,,,cyborg,"HTTP-server task; Copilot autocomplete; less-experienced devs gained more"
cui_2025,coding,4867,well-bounded,tasks_per_week,26,,,,,,,cyborg,"Three field experiments (Microsoft, Accenture, F100); avg across N=4867"
metr_2025,coding,16,real_repo,task_completion_time,-19,,,,19,,,cyborg,"Experienced OS devs IN THEIR OWN REPOS; AI tools (Cursor + Sonnet); subjects predicted +24%; got -19%"
otis_2024_high,entrepreneurship,640,open_ended,revenue,15,,,,,,,centaur,"High-baseline performers; WhatsApp GPT-4 mentor; 5 months"
otis_2024_low,entrepreneurship,640,open_ended,revenue,-8,,,,,,,centaur,"Low-baseline performers; same intervention; mis-routing harm"
dellacqua_2023_inside,consulting,758,inside_frontier,quality+speed+completion,,,,40,-25.1,,,centaur_unfettered,"Inside-frontier tasks; +12.2% completion; +40% quality; -25.1% time"
dellacqua_2023_outside,consulting,758,outside_frontier,quality_p_correct,-19,,,,,,,centaur_unfettered,"Outside-frontier tasks; 19 percentage points worse on correctness"
goh_2024_physician_ai,medicine,50,diagnostic_vignettes,p_correct,2,,,,,,,centaur_consult,"Physicians + GPT-4 vs physicians alone; p_correct ≈ 76% vs 74%; AI access did not help"
goh_2024_ai_alone,medicine,50,diagnostic_vignettes,p_correct,16,,,,,,,full_delegation,"GPT-4 alone p_correct ≈ 90%; OUTPERFORMS physicians+GPT-4"
everett_2025_ai_first,medicine,70,diagnostic_vignettes,p_correct,9.9,,,,,,,spec_driven,"Independent-then-synthesize workflow with AI as first opinion; complementarity restored"
everett_2025_ai_second,medicine,70,diagnostic_vignettes,p_correct,6.8,,,,,,,spec_driven,"Same workflow with AI as second opinion; smaller gain but still positive"
bastani_2025_in_session_base,education,~1000,math,grade,48,,,,,,,full_delegation,"GPT Base in-session improvement; unfettered access"
bastani_2025_in_session_tutor,education,~1000,math,grade,127,,,,,,,spec_driven,"GPT Tutor in-session improvement; guardrailed access"
bastani_2025_post_test_base,education,~1000,math,unassisted_grade,-17,,,,,,,full_delegation,"GPT Base unassisted post-test drop after AI removed"
bastani_2025_post_test_tutor,education,~1000,math,unassisted_grade,0,,,,,,,spec_driven,"GPT Tutor unassisted post-test ≈ control; guardrails preserve skill"
schoenegger_2024_super,forecasting,991,quantitative_predictions,brier_score_improvement,23,,,,,,,centaur_consult,"Both calibrated and overconfident GPT-4 assistants improved forecasting; +43% in exploratory item-trim"
schoenegger_2024_overconfident,forecasting,991,quantitative_predictions,brier_score_improvement,28,,,,,,,centaur_consult,"Deliberately overconfident GPT-4 still improved forecasting; structured-reasoning effect"
humlum_2025,labor_market,25000,11_occupations,earnings_or_hours,0,,,,,-1,1,mixed,"Aggregate effect across 11 exposed occupations; precise zero with CI ruling out >1%; avg time savings 3%"
anthropic_2025,research_synthesis,N/A,information_retrieval,internal_eval_score,90.2,,,,,,,multi_agent_orchestrator,"Multi-agent Opus+Sonnet beat single-agent Opus by 90.2% at 15x token cost"
paterson_2026,daily_workflows,1,38_tasks_15_models,routing_score,,,,,,,,routed,"Per-task dispatch beats single-best-model on 38 real daily tasks; 570 API calls"
